КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
GF18250,0.039305307,23999.0,0.1749999970197677,0,0.0900000035762786,0,0.0599999986588954,0,,0,,0,,0,0.0
GF18437,0.0058770385,6499.0,,0,,0,,0,,0,,0,,0,0.0
GF18259,1.0766635e-06,699.0,0.2000000029802322,0,0.1199999973177909,0,0.0199999995529651,0,,0,,0,,0,0.0
GF27381,1.13969e-06,999.0,0.0850000008940696,0,0.0350000001490116,0,0.1199999973177909,0,,0,,0,,0,0.0
GF18412,1.3591036e-06,99999.0,0.800000011920929,0,0.75,0,0.7699999809265137,0,,0,,0,,0,0.0
MA00331,1.2131977e-06,4250.0,0.0949999988079071,0,0.0949999988079071,0,0.3600000143051147,0,,0,,0,,0,0.0
GF18255,0.021569373,5199.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
MA10546,1.0197033e-06,450.0,0.270000010728836,0,0.1899999976158142,0,0.0599999986588954,0,,0,,0,,0,0.0
GF18550,1.0840282e-06,4899.0,0.4300000071525574,0,0.2399999946355819,0,0.4699999988079071,0,,0,,0,,0,0.0
GF19829,9.638547e-07,1650.0,0.2509999871253967,0,0.2509999871253967,0,0.1580000072717666,0,,0,,0,,0,0.0
GF19451,0.19037443,450.0,0.1899999976158142,0,0.209999993443489,0,0.0299999993294477,0,3.0,0,2.0,0,0.0,0,1.0
GF20759,0.0062238765,2099.0,0.3799999952316284,0,0.1000000014901161,0,0.1000000014901161,0,,0,,0,,0,0.0
GF18134,0.017171517,3599.0,0.4300000071525574,0,0.0700000002980232,0,0.1700000017881393,0,,0,,0,,0,0.0
MA85180,1.035347e-06,2799.0,0.1400000005960464,0,0.050000000745058,0,0.1199999973177909,0,,0,,0,,0,0.0
